"SYSZEIT";"ISOZEIT";"INTZEIT";"DATEI";"DRU_RL0_1_N";"DRU_RL0_1_O";"DRU_RL0_1_S";"DRU_RL0_1_W";"DRU_RL1_2_N";"DRU_RL1_2_O";"DRU_RL1_2_S";"DRU_RL1_2_W";"DRU_RL2_3_N";"DRU_RL2_3_O";"DRU_RL2_3_S";"DRU_RL2_3_W";"DRU_RL3_4_N";"DRU_RL3_4_O";"DRU_RL3_4_S";"DRU_RL3_4_W";"DRU_RL4_5_N";"DRU_RL4_5_O";"DRU_RL4_5_S";"DRU_RL4_5_W";"DRU_RL6_7_N";"DRU_RL6_7_O";"DRU_RL6_7_S";"DRU_RL6_7_W";"DRU_RL8_9_N";"DRU_RL8_9_O";"DRU_RL8_9_S";"DRU_RL8_9_W";"DRU_RL0_1_MW";"DRU_RL1_2_MW";"DRU_RL2_3_MW";"DRU_RL3_4_MW";"DRU_RL4_5_MW";"DRU_RL6_7_MW";"DRU_RL8_9_MW";"DDRU_RL0_REL";"DDRU_RL0_1_REL";"DDRU_RL2_REL";"DDRU_RL3_REL";"DDRU_RL4_REL";"DDRU_RL5_6_REL";"DDRU_RL7_8_REL";"DDRU_RL9_REL";"DRU_MW";"DRU_GG"
7.7.2020 09:10:03;7.7.2020 09:05:00;"2020070709105";"5MI";"3,3718172";"3,3796297";"3,3819445";"3,3943868";"3,3466437";"3,388021";"3,4013313";"3,3640048";"3,143808";"3,159433";"3,1189237";"3,1684029";"2,934896";"2,9279515";"2,9366321";"2,950521";"2,8686344";"2,862558";"2,8750002";"2,877315";"2,8009261";"2,8347802";"2,8072918";"2,8127895";"2,6924191";"2,7039931";"2,6984955";"2,6967593";"3,3819446";"3,3750002";"3,1476419";"2,9375002";"2,8708769";"2,8139469";"2,6979168";"29,019188";"29,4887512";"15,373408";"14,209264";"4,5049034";"3,8494663";"7,8456695";"24,7285376";"3,8111112";"2,3322049"
7.7.2020 09:15:04;7.7.2020 09:10:00;"2020070709110";"5MI";"3,3579284";"3,362558";"3,3648728";"3,3764469";"3,3504053";"3,3773149";"3,3912039";"3,3466437";"3,1736113";"3,1753474";"3,112558";"3,1753474";"2,9638311";"2,950521";"2,9574654";"2,9809028";"2,8964122";"2,8891784";"2,9013312";"2,9042246";"2,831308";"2,8055556";"2,8379631";"2,8431715";"2,7199075";"2,7346645";"2,7242478";"2,7245372";"3,3654515";"3,366392";"3,159216";"2,9631801";"2,8977866";"2,8294996";"2,7258393";"30,6551016";"30,589228";"14,5108232";"13,730559";"4,580229";"4,7828927";"7,2604756";"24,5457926";"3,8031249";"2,3753906"
7.7.2020 09:20:44;7.7.2020 09:15:00;"2020070709115";"5MI";"3,3275464";"3,3344909";"3,3350697";"3,3475118";"3,313947";"3,335359";"3,3486691";"3,3046876";"3,1710072";"3,1119794";"3,0694446";"3,1137154";"2,9169562";"2,9001737";"2,9065395";"2,9250579";"2,8443289";"2,8365164";"2,8478011";"2,8486691";"2,7748844";"2,8046876";"2,7803821";"2,7858798";"2,6646413";"2,6770835";"2,6681136";"2,6678242";"3,3361547";"3,3256657";"3,1165367";"2,9121818";"2,8443289";"2,7864585";"2,6694157";"29,1061064";"29,8256948";"14,3471071";"14,0195843";"4,6549872";"3,9701468";"8,0296161";"25,1528637";"3,7604166";"2,3027778"
7.7.2020 09:25:07;7.7.2020 09:20:00;"2020070709120";"5MI";"3,3391205";"3,3443289";"3,3475117";"3,3605326";"3,3237849";"3,3582177";"3,3692131";"3,3379631";"3,212095";"3,1958913";"3,1004052";"3,1614585";"2,9632524";"2,9522571";"2,956308";"2,9733798";"2,8958335";"2,8894677";"2,9016205";"2,9021992";"2,8307293";"2,8052664";"2,8359376";"2,8417246";"2,7236691";"2,7364006";"2,7277201";"2,7277201";"3,3478734";"3,3472947";"3,1674625";"2,9612993";"2,8972802";"2,8284145";"2,7288775";"31,6076599";"31,6492665";"12,9293364";"14,8224476";"4,6027601";"4,9512145";"7,1563789";"23,8885961";"3,7874996";"2,3966146"
7.7.2020 09:30:14;7.7.2020 09:25:00;"2020070709125";"5MI";"3,3252317";"3,3289932";"3,3298612";"3,3428821";"3,3127895";"3,3376737";"3,3446182";"3,3130789";"3,144676";"3,2242478";"3,045139";"3,1119793";"2,8972803";"2,8969909";"2,8987271";"2,9105905";"2,8321761";"2,8281251";"2,8414354";"2,8408566";"2,7664932";"2,7693867";"2,7725696";"2,7789353";"2,6559608";"2,6689817";"2,6608798";"2,6600117";"3,3317421";"3,3270401";"3,1315105";"2,9008972";"2,8356483";"2,7718462";"2,6614585";"29,7110952";"30,032304";"13,3572575";"15,7539382";"4,4573628";"4,3585272";"7,5409398";"24,4996705";"3,7666666";"2,3028212"
7.7.2020 09:35:03;7.7.2020 09:30:00;"2020070709130";"5MI";"3,3498266";"3,3553243";"3,3553242";"3,3692131";"3,3379632";"3,3602432";"3,3686344";"3,3336228";"3,1464122";"3,2528936";"3,0526621";"3,1177664";"2,9010418";"2,9010419";"2,9036459";"2,9126158";"2,8373844";"2,8330441";"2,8466437";"2,8446182";"2,7725696";"2,8017941";"2,7760418";"2,7832755";"2,6631946";"2,6765048";"2,6681135";"2,6672455";"3,3574221";"3,3501159";"3,1424336";"2,9045864";"2,8404226";"2,7834203";"2,6687646";"29,0630403";"29,5620024";"14,1832397";"16,2432901";"4,381936";"3,892856";"7,8301775";"23,9064982";"3,7829863";"2,3187066"
7.7.2020 09:40:08;7.7.2020 09:35:00;"2020070709135";"5MI";"3,3750002";"3,378183";"3,3810765";"3,3935187";"3,372396";"3,3952548";"3,4111692";"3,3660303";"3,2204863";"3,2983219";"3,123264";"3,1652201";"2,9780094";"2,9756946";"2,9742479";"2,983507";"2,9114584";"2,9065395";"2,9181135";"2,9178242";"2,8472223";"2,8003474";"2,8504052";"2,8590857";"2,7343751";"2,7494215";"2,7381368";"2,7392942";"3,3819446";"3,3862126";"3,2018231";"2,9778647";"2,9134839";"2,8392652";"2,7403069";"30,4600505";"30,1668554";"12,6668483";"15,3850793";"4,422713";"5,0985388";"6,798054";"25,4619112";"3,8253472";"2,3696615"
7.7.2020 09:45:11;7.7.2020 09:40:00;"2020070709140";"5MI";"3,3359376";"3,3414353";"3,342014";"3,3553243";"3,3263891";"3,3394099";"3,356771";"3,3168405";"3,1863427";"3,2155673";"3,0775465";"3,0998265";"2,9288196";"2,9218752";"2,925058";"2,9314238";"2,8605325";"2,8544562";"2,8668983";"2,866609";"2,7942709";"2,8078705";"2,796007";"2,8052663";"2,6802664";"2,6944446";"2,685764";"2,6840279";"3,3436778";"3,3348526";"3,1448208";"2,9267942";"2,862124";"2,8008537";"2,6861257";"29,4401539";"30,0410719";"12,9394832";"14,8456813";"4,4034681";"4,171965";"7,8119611";"25,7863693";"3,7760417";"2,307422"
7.7.2020 09:50:19;7.7.2020 09:45:00;"2020070709145";"5MI";"3,3614006";"3,3657409";"3,3651622";"3,3776043";"3,3544562";"3,3752895";"3,38397";"3,3382525";"3,2204863";"3,2913774";"3,106771";"3,1148728";"2,9652779";"2,9568868";"2,9600696";"2,9673033";"2,898727";"2,8909145";"2,9039353";"2,9048034";"2,8356483";"2,835359";"2,837095";"2,8457756";"2,7306136";"2,7427663";"2,7346645";"2,7343751";"3,367477";"3,3629921";"3,1833769";"2,9623844";"2,8995951";"2,8384695";"2,7356049";"30,5286198";"30,8446683";"12,6573901";"15,573227";"4,4247294";"4,3074894";"7,2488151";"24,9436808";"3,8006946";"2,3816406"
7.7.2020 09:55:03;7.7.2020 09:50:00;"2020070709150";"5MI";"3,3301506";"3,3339122";"3,3368057";"3,3504053";"3,3243636";"3,3417247";"3,3619793";"3,3185765";"3,191551";"3,2575232";"3,0804399";"3,0917247";"2,9305557";"2,9288196";"2,9334493";"2,9392362";"2,8663196";"2,8605325";"2,8755788";"2,8755789";"2,8043983";"2,7818288";"2,8070025";"2,8148149";"2,689815";"2,7051506";"2,695602";"2,695602";"3,3378185";"3,336661";"3,1553097";"2,9330152";"2,8695025";"2,8020111";"2,6965424";"30,4333956";"30,5120971";"12,3305614";"15,1143994";"4,3183989";"4,5889213";"7,1710998";"25,9645221";"3,7854166";"2,3146701"
